"","ONCODG1","OAW28","EFO27","EFO21","RMUGS","RMGI","NIHOVCAR3","SNU8","SKOV3","Caov3","Caov4","OC314","OAW42","TOV21G","OVMANA","FUOV1","OVKATE","MCAS","IGROV1","OVCAR4","OVCAR8","OV7","OV90","OV56","OVISE","OVK18","TYKnu","JHOC5","JHOM1","JHOM2B","JHOS2","JHOS4","SNU119","COV318","COV362","COV644","A2780","KURAMOCHI","TOV112D","HeyA8","OVTOKO","OVSAHO","X59M","ES2"
"WT1-AS",10.0504619249539,7.28349012436309,6.26436451099859,0.451834381862735,1.67876217963358,0.451834381862735,8.75164222736054,7.21486261352607,2.72044163362696,2.23656963634392,9.25107934965513,8.2311875275391,0.451834381862735,0.451834381862735,0.451834381862735,3.17799578299063,8.9883111530427,1.8614490970344,3.96575913104545,0.451834381862735,3.23573259254222,0.451834381862735,2.15858698330575,4.39755424522378,4.36615857477675,3.55600944042917,6.51547504260269,2.75077116288817,0.451834381862735,0.451834381862735,7.86258125474023,3.64810365088559,5.08521382870491,9.21225973760881,0.451834381862735,0.451834381862735,0.451834381862735,10.4570750193929,2.49582555800363,5.02570566924268,0.451834381862735,8.85595084101285,7.37671380936611,3.47455248464266
"MIR4450",4.8092665276098,4.62784075820457,0.451834381862735,3.1154023663095,1.67876217963358,0.451834381862735,5.76090329367632,1.53074460520565,2.45934520599409,0.451834381862735,2.20679307161952,0.451834381862735,0.451834381862735,1.6516207506593,0.451834381862735,1.69874479083812,3.85718790680558,0.451834381862735,3.17518887327912,1.67330081909131,1.56801627441701,0.451834381862735,0.451834381862735,0.451834381862735,2.50451020992258,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,3.32910071018651,2.10081797254852,2.20259374747406,1.69787505150248,1.56538491961369,0.451834381862735,0.451834381862735,1.71533861699103,0.451834381862735,0.451834381862735,2.17598516132699,0.451834381862735,1.68113498911435,0.451834381862735
"TEPP",6.38803155102733,7.97915935025911,0.451834381862735,3.33085388263345,2.14149739019432,0.451834381862735,5.40627507624988,0.451834381862735,2.72044163362696,5.11823143357161,4.38788362278323,0.451834381862735,2.99093843025057,2.43135286072835,0.451834381862735,4.1576824655889,2.67927535037343,0.451834381862735,5.04583759907624,2.46410468187212,5.3105206836542,0.451834381862735,5.33210689879567,4.50368157392008,2.70822148218425,5.34844900774825,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,3.65392166872027,4.78366338877252,4.5310722859631,6.17334425152476,4.02848594910813,2.06727024090655,3.09010777179269,4.76875527635449,0.451834381862735,0.451834381862735,0.451834381862735,5.87048993323506,5.79268807750847,0.451834381862735
"OR2W3",0.451834381862735,1.45577350514548,0.451834381862735,4.48914181556514,0.451834381862735,2.46888924338176,0.451834381862735,7.9063295653045,9.21330095603095,6.29801741149429,9.77235822077349,8.65314949062275,0.451834381862735,0.451834381862735,0.451834381862735,5.26888586758972,5.81217252764097,0.451834381862735,0.451834381862735,2.46410468187212,10.5620987908839,7.94134531418785,1.69179169239647,1.53074822989358,0.451834381862735,3.38254257243062,0.451834381862735,0.451834381862735,1.61868772610896,1.64730418159057,6.63501493453538,6.4641598000184,6.73039450522742,8.16533852754289,7.68390829155448,0.451834381862735,0.451834381862735,2.79441574958537,0.451834381862735,0.451834381862735,1.70507408235967,5.04946718466902,9.69987891117965,8.2289729594839
"DEUP1",5.6615354694105,6.09193220597455,1.65184808287029,2.54333964426974,2.14149739019432,4.87526068059579,6.378862547117,0.451834381862735,3.90960046176412,7.65082891039832,5.20857662591895,4.09498654995008,1.59716548045943,0.451834381862735,0.451834381862735,2.16769753482867,6.55210502757366,2.74312252533099,0.451834381862735,2.72563261489674,3.09409488586077,0.451834381862735,3.48037767065767,1.53074822989358,6.22152465417067,0.451834381862735,0.451834381862735,0.451834381862735,2.63524819550228,3.64705634349383,6.13366325099418,5.22930030056331,7.46500241379691,7.59800954071168,6.5330869532139,0.451834381862735,0.451834381862735,4.0030361214301,1.53579964061682,0.451834381862735,0.451834381862735,4.31391555259679,6.25805874184894,2.06647184172685
"PDE6B-AS1",3.36533465296849,2.55189575719742,0.451834381862735,4.02499386583766,0.451834381862735,1.93144157609489,2.15809601452362,0.451834381862735,0.451834381862735,1.7514664719712,6.69082146567624,0.451834381862735,0.451834381862735,2.90587400887458,2.05485827364415,2.76734602748398,6.64071165649182,0.451834381862735,0.451834381862735,2.13432757196228,1.56801627441701,0.451834381862735,0.451834381862735,2.24645538262469,1.54091582931337,1.43205211048549,0.451834381862735,0.451834381862735,2.8477271441236,0.451834381862735,0.451834381862735,2.10081797254852,3.80439666597075,4.89753454074783,3.08892527031922,0.451834381862735,0.451834381862735,4.50942106673204,7.3409891875408,0.451834381862735,0.451834381862735,4.70037149464252,0.451834381862735,0.451834381862735
"TGM7",4.57271916833276,6.4515926331233,0.451834381862735,8.06821665882499,0.451834381862735,0.451834381862735,2.75535855806511,1.53074460520565,2.13018291340608,0.451834381862735,4.15963039839273,0.451834381862735,6.41560825407571,0.451834381862735,0.451834381862735,3.49377610233237,3.08016787784586,0.451834381862735,3.49079385271879,9.12766032418927,0.451834381862735,0.451834381862735,0.451834381862735,1.53074822989358,3.42397984979659,1.43205211048549,1.54881087289452,0.451834381862735,4.86393887396669,0.451834381862735,3.44595253709077,5.22930030056331,0.451834381862735,3.1764201555976,3.4762247567256,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,6.77203588590667,5.50164030956634,0.451834381862735,0.451834381862735
"LINC01436",4.34056854524418,1.8456021350715,0.451834381862735,3.1154023663095,2.95338699843899,0.451834381862735,6.4690515428948,0.451834381862735,0.451834381862735,1.7514664719712,0.451834381862735,0.451834381862735,0.451834381862735,2.90587400887458,0.451834381862735,0.451834381862735,10.7433670041518,0.451834381862735,3.17518887327912,5.59921544113492,2.30387935668106,2.29246933310086,2.49193982397543,0.451834381862735,1.54091582931337,0.451834381862735,0.451834381862735,0.451834381862735,1.61868772610896,2.10014466666642,8.64777314438728,3.64810365088559,0.451834381862735,3.74951004840239,7.57799689742947,6.19131458609856,0.451834381862735,2.18941435355807,1.53579964061682,2.27515395699874,0.451834381862735,3.41642326335602,0.451834381862735,10.4413503734458
"LINC02872",1.85975163025915,5.10426712882669,1.65184808287029,2.71094799405033,4.68762763332752,2.46888924338176,3.73655004033235,1.94579736399999,0.451834381862735,3.97031095972193,3.34656132343,0.451834381862735,1.59716548045943,2.10582666251975,0.451834381862735,2.98813468506487,3.95334147013079,0.451834381862735,2.98544776209465,4.10374762486693,4.10883137383855,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,2.29840599768286,2.0624144419642,0.451834381862735,5.328807690884,3.86270788321882,3.86246011747035,3.62668229409285,3.08892527031922,0.451834381862735,0.451834381862735,4.10091570922206,0.451834381862735,5.18262647978469,2.99909970844345,2.91857510443409,2.73850282339987,0.451834381862735
"UTS2R",3.14838671090756,1.8456021350715,1.65184808287029,0.451834381862735,1.67876217963358,0.451834381862735,3.61395789441885,0.451834381862735,3.29097649164993,3.73100984979909,4.4396742059899,1.56204372492984,2.03396734064311,0.451834381862735,0.451834381862735,1.69874479083812,3.85718790680558,0.451834381862735,2.76481333475205,4.61521476844517,1.99534340686719,1.79446714069703,3.33178671216871,0.451834381862735,3.63118048272675,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,0.451834381862735,2.27797407988031,4.93242779022554,7.06653362812911,3.74951004840239,2.7524486685792,0.451834381862735,4.10413159009043,3.01684057047008,2.87488779516296,0.451834381862735,0.451834381862735,2.91857510443409,1.68113498911435,0.451834381862735
"NDUFB4P11",5.24488568412692,2.55189575719742,2.69026734658379,3.42720668232727,1.67876217963358,1.93144157609489,4.59255223035693,6.70708619209387,1.6701451341909,3.4426876750038,5.37696531689344,3.85969471655066,1.59716548045943,0.451834381862735,0.451834381862735,5.42319986701378,6.77726988494162,2.37905308701531,5.09249975373028,3.13171815254152,0.451834381862735,0.451834381862735,2.15858698330575,2.48724063796629,3.18056232868288,0.451834381862735,0.451834381862735,6.40528084072024,4.81625426230151,0.451834381862735,5.52452690816149,5.53846405493662,1.36652830042033,4.2415831793483,3.35873272098381,0.451834381862735,0.451834381862735,7.46856535626634,0.451834381862735,0.451834381862735,1.70507408235967,4.45464428950478,1.68113498911435,1.62176116354264
"PNMA3",6.15102044033793,5.52775036971594,4.84431102701504,7.36864566665901,2.73460721318586,2.46888924338176,7.08562606316296,4.60247534068304,3.12595201682546,9.40300231773856,7.84436279325165,4.35826697951957,3.29441652312053,3.09198470869898,0.451834381862735,8.56119246268788,3.75403218836761,0.451834381862735,6.93036500048295,8.16375341150987,10.4547525744883,0.451834381862735,2.15858698330575,3.40210076968508,5.00430001386811,5.62290325742461,0.451834381862735,1.56445369219052,0.451834381862735,3.24757126387786,4.06967096475247,9.9408425898504,10.1508369587441,5.38414278349803,4.4251517926914,2.06727024090655,8.3556708256623,9.33183222586051,5.16425637463499,1.78112707587414,1.70507408235967,9.24171780388287,8.64504011429362,0.451834381862735
"AARD",9.10213279053997,8.32458988517377,2.10612583714707,0.451834381862735,0.451834381862735,0.451834381862735,9.15627561022957,5.68866643530587,3.90960046176412,9.22556333717508,7.06388419448795,8.22709710294553,1.59716548045943,1.6516207506593,0.451834381862735,8.44900066247733,11.3632573703191,1.8614490970344,0.451834381862735,8.01501291341476,8.2058425725396,0.451834381862735,2.15858698330575,2.68975258385446,5.62282759187214,1.43205211048549,1.54881087289452,0.451834381862735,2.0624144419642,2.10014466666642,9.1363886244168,9.05555344563184,9.57407699597091,7.42656990173844,8.63136781324478,2.64137247543603,8.59192090450193,6.59425009451068,7.90575276530342,7.0609292683515,2.77768357775518,7.83265262799949,5.89855910023993,6.81892057113726
"GLIS3-AS1",2.89064383970598,10.3861889852939,0.451834381862735,4.39824370155792,0.451834381862735,0.451834381862735,2.15809601452362,5.24574577544739,3.43843619838029,0.451834381862735,6.32987881943118,1.56204372492984,0.451834381862735,0.451834381862735,0.451834381862735,2.98813468506487,3.08016787784586,4.18394769065211,1.69719555856937,3.44457225014882,0.451834381862735,0.451834381862735,4.71671582257446,1.53074822989358,2.70822148218425,0.451834381862735,3.64869293153353,2.54433124412999,0.451834381862735,3.08404023348228,2.52189202011838,6.32780155507017,2.54233331499365,10.0288066135798,1.99185134556953,0.451834381862735,0.451834381862735,5.8449940639657,0.451834381862735,0.451834381862735,0.451834381862735,3.98245929251899,0.451834381862735,1.62176116354264
